epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.6075,1.26022,3.8572,1.65324,0.11984,0.80263,0.41846,0.27424,1.01065,4.28751,1.51222,0.00011424,0.00011424,0.00011424
2,182.273,1.19171,2.68834,1.59712,0.12881,0.72368,0.41608,0.27082,1.0586,4.06693,1.58113,0.000227845,0.000227845,0.000227845
3,271.279,1.234,2.34945,1.6352,0.63291,0.47368,0.50386,0.2896,1.27245,3.4926,1.83785,0.000333438,0.000333438,0.000333438
4,362.568,1.18537,2.24615,1.61487,0.56947,0.45255,0.48519,0.30275,1.26322,3.29842,1.72867,0.00043102,0.00043102,0.00043102
5,478.638,1.1675,2.08106,1.58137,0.61101,0.53739,0.56275,0.35582,1.21621,3.43327,1.742,0.000520592,0.000520592,0.000520592
6,627.823,1.12792,1.9219,1.5321,0.58009,0.47262,0.48336,0.29012,1.40555,3.19353,1.8715,0.00059619,0.00059619,0.00059619
7,742.351,1.13989,1.89094,1.48919,0.56098,0.47368,0.51061,0.28016,1.5094,3.20803,1.8958,0.000572628,0.000572628,0.000572628
8,832.79,1.10378,1.78648,1.48157,0.62974,0.48684,0.49739,0.31676,1.28151,2.92739,1.83718,0.000549066,0.000549066,0.000549066
9,925.945,1.11935,1.7635,1.48948,0.53002,0.47368,0.47238,0.30418,1.29006,2.9268,1.80573,0.000525504,0.000525504,0.000525504
10,1016.25,1.10755,1.7455,1.44733,0.50233,0.55784,0.467,0.29867,1.26515,2.83725,1.74599,0.000501942,0.000501942,0.000501942
11,1106.5,1.0485,1.61192,1.43273,0.52672,0.52632,0.52339,0.32092,1.26064,2.66811,1.7496,0.00047838,0.00047838,0.00047838
12,1197.19,1.0263,1.62758,1.4097,0.50983,0.52632,0.53145,0.33127,1.31755,2.73765,1.79903,0.000454818,0.000454818,0.000454818
13,1288.71,0.97968,1.50591,1.3785,0.49365,0.48684,0.49406,0.31506,1.29647,2.62346,1.77258,0.000431256,0.000431256,0.000431256
14,1379.7,1.02705,1.51164,1.38635,0.73577,0.43975,0.56106,0.34999,1.30566,2.44021,1.86015,0.000407694,0.000407694,0.000407694
15,1470.32,0.98912,1.4618,1.37759,0.59629,0.53947,0.48198,0.29964,1.28934,2.55918,1.83596,0.000384132,0.000384132,0.000384132
16,1560.95,0.97244,1.35272,1.3698,0.65243,0.47368,0.52692,0.32165,1.38205,2.58389,1.83803,0.00036057,0.00036057,0.00036057
17,1651.33,0.97897,1.37545,1.33556,0.56487,0.48684,0.49894,0.32557,1.30706,2.49327,1.73394,0.000337008,0.000337008,0.000337008
18,1741.53,0.94334,1.33955,1.33167,0.52128,0.53947,0.45215,0.29153,1.224,2.4728,1.67964,0.000313446,0.000313446,0.000313446
19,1844.69,0.93618,1.34202,1.32237,0.48226,0.55155,0.43481,0.28143,1.31736,2.50712,1.73563,0.000289884,0.000289884,0.000289884
20,1939.67,0.91663,1.30934,1.29062,0.54904,0.48684,0.49335,0.30782,1.41107,2.47706,1.84677,0.000266322,0.000266322,0.000266322
21,2088.83,0.82049,1.62003,1.27591,0.63838,0.52632,0.55365,0.32925,1.45756,2.56226,1.9221,0.00024276,0.00024276,0.00024276
22,2311.94,0.8305,1.55933,1.30201,0.63771,0.55263,0.60422,0.38071,1.32274,2.28523,1.82626,0.000219198,0.000219198,0.000219198
23,2413.53,0.76359,1.42065,1.24213,0.67193,0.55263,0.57322,0.36047,1.32131,2.40056,1.85694,0.000195636,0.000195636,0.000195636
24,2502.73,0.74323,1.41213,1.21013,0.66462,0.5,0.51,0.31771,1.33622,2.52286,1.82959,0.000172074,0.000172074,0.000172074
25,2591.73,0.69628,1.28746,1.17922,0.67321,0.48684,0.5335,0.33288,1.30828,2.49531,1.76804,0.000148512,0.000148512,0.000148512
26,2681.63,0.68819,1.22157,1.16129,0.6507,0.47368,0.52379,0.3386,1.32535,2.59148,1.78414,0.00012495,0.00012495,0.00012495
27,2781.44,0.7165,1.29521,1.17983,0.56175,0.51316,0.51618,0.32276,1.34308,2.6073,1.8154,0.000101388,0.000101388,0.000101388
28,2870.64,0.68438,1.20463,1.14709,0.66028,0.46053,0.52897,0.33475,1.31489,2.51563,1.82161,7.7826e-05,7.7826e-05,7.7826e-05
